symbol,trade_count,target_hit_count,target_hit_percent,total_pnl_percent,average_pnl_percent
TCS,61,34,55.74,3.61,0.06
TECHM,63,36,57.14,6.56,0.10
TECHNOE,58,45,77.59,14.87,0.26
TEGA,62,47,75.81,9.17,0.15
TEJASNET,58,30,51.72,-18.71,-0.32
TENNIND,60,39,65.00,10.87,0.18
THELEELA,59,45,76.27,24.63,0.42
THERMAX,55,37,67.27,6.97,0.13
TIINDIA,57,40,70.18,-1.76,-0.03
TIMKEN,54,40,74.07,4.39,0.08
TITAGARH,59,39,66.10,5.69,0.10
TITAN,56,37,66.07,8.67,0.15
TMCV,57,39,68.42,-4.69,-0.08
TMPV,56,31,55.36,-2.19,-0.04
TORNTPHARM,51,42,82.35,16.96,0.33
TORNTPOWER,58,44,75.86,3.63,0.06
TRAVELFOOD,59,47,79.66,21.92,0.37
TRENT,53,38,71.70,-3.05,-0.06
TRIDENT,53,28,52.83,-1.16,-0.02
TRITURBINE,58,49,84.48,16.86,0.29
TTML,57,39,68.42,17.54,0.31
TVSMOTOR,57,39,68.42,3.67,0.06
UBL,52,42,80.77,12.45,0.24
UCOBANK,58,35,60.34,-3.81,-0.07
ULTRACEMCO,61,23,37.70,6.69,0.11
UNIONBANK,55,30,54.55,-6.04,-0.11
UNITDSPR,59,44,74.58,10.43,0.18
UNOMINDA,55,37,67.27,-2.15,-0.04
UPL,59,37,62.71,1.15,0.02
URBANCO,60,45,75.00,7.60,0.13
USHAMART,58,38,65.52,6.91,0.12
UTIAMC,57,23,40.35,-1.45,-0.03
VBL,56,36,64.29,5.35,0.10
VEDL,55,36,65.45,12.24,0.22
VIJAYA,57,47,82.46,23.93,0.42
VMM,58,42,72.41,11.24,0.19
VOLTAS,54,35,64.81,4.91,0.09
VTL,56,42,75.00,6.83,0.12
WAAREEENER,52,40,76.92,10.31,0.20
WELCORP,59,42,71.19,-1.89,-0.03
WELSPUNLIV,59,40,67.80,7.31,0.12
WHIRLPOOL,53,40,75.47,0.45,0.01
WIPRO,59,30,50.85,-1.74,-0.03
WOCKPHARMA,63,41,65.08,-9.78,-0.16
YESBANK,58,42,72.41,9.23,0.16
ZEEL,63,21,33.33,-28.67,-0.46
ZENSARTECH,53,27,50.94,-28.55,-0.54
ZENTEC,57,36,63.16,6.58,0.12
ZFCVINDIA,58,43,74.14,10.70,0.18
ZYDUSLIFE,57,46,80.70,10.56,0.19
ZYDUSWELL,56,39,69.64,0.63,0.01
