SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (₹ Crores),52 WEEK HIGH,52 WEEK LOW,30 D %CHNG,365 D %CHNG
"GODREJPROP","1,964.00","2,056.70","1,960.00","1,970.70","2,001.50","-","30.8","1.56","1323927","266.02","2,352.00","1,434.00","-4.22","-0.52"
"CHENNPETRO","1,421.10","1,470.80","1,411.30","1,414.00","1,440.00","-","26","1.84","1827672","264.42","1,489.70","684.30","8.64","105.99"
"TECHM","1,623.00","1,625.60","1,592.00","1,623.00","1,598.00","-","-25","-1.54","1647483","263.63","1,854.00","1,304.10","-3.09","5.95"
"OFSS","12,190.00","12,227.00","12,013.00","12,158.00","12,149.00","-","-9","-0.07","217661","263.61","12,540.00","6,234.50","7.21","44.42"
"POWERGRID","269.90","270.75","265.60","266.80","265.60","-","-1.2","-0.45","9826724","263.40","324.95","250.00","-7.46","-7.15"
"SAILIFE","1,588.00","1,630.00","1,559.90","1,587.00","1,579.00","-","-8","-0.5","1633705","261.58","1,630.00","783.85","18.42","86.24"
"GVT&D","4,276.00","4,367.00","4,242.00","4,240.00","4,362.00","-","122","2.88","598422","259.41","5,650.00","2,523.20","-0.18","54.82"
"UNIONBANK","187.50","190.75","186.75","186.86","189.00","-","2.14","1.15","13672026","258.57","205.49","125.45","8.62","47.13"
"BHEL","428.50","432.70","424.05","427.50","431.80","-","4.3","1.01","5980404","256.72","446.50","209.60","5.02","99.01"
"OLAELEC","39.35","39.70","37.11","38.98","37.45","-","-1.53","-3.93","66732839","254.99","71.25","22.25","-3.33","-45.72"
"KOTAKBANK","425.00","426.90","421.15","423.50","421.15","-","-2.35","-0.55","5991118","253.78","453.20","345.50","5.95","7.43"
"FIRSTCRY","172.40","181.28","171.01","170.82","180.30","-","9.48","5.55","14287238","252.57","438.70","168.15","-15.99","-50.24"
"SBICARD","641.00","667.40","641.00","635.15","661.00","-","25.85","4.07","3785886","250.03","965.00","565.45","-0.61","-16.89"
"GRANULES","837.50","873.50","834.00","831.75","857.00","-","25.25","3.04","2829036","241.44","910.00","503.60","1.64","65.3"
"ASTERDM","768.00","789.00","754.05","759.90","785.30","-","25.4","3.34","3077930","239.39","891.30","519.10","-3.66","26.63"
"ADANIENT","2,905.00","2,920.50","2,885.20","2,891.80","2,901.00","-","9.2","0.32","816124","236.73","3,245.00","1,753.00","-5.44","30.56"
"CAPLIPOINT","2,712.00","2,877.30","2,663.10","2,720.50","2,835.10","-","114.6","4.21","840705","236.42","2,877.30","1,500.30","10.48","31.19"
